Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
00:00,,,,,0.031,0.03,0.021,,0.031,,,,,0.023,0.026,,,0.038,,,,,,0.033,
00:20,,,,,0.042,0.042,0.028,,0.048,,,,,0.021,0.034,,,0.036,,,,,,0.035,
00:40,,,,,0.038,0.04,0.026,,0.085,,,,,0.017,0.037,,,0.033,,,,,,0.064,
01:00,,,,,0.037,0.041,0.024,,0.133,,,,,0.019,0.037,,,0.031,,,,,,0.126,
01:20,,,,,0.032,0.045,0.023,,0.166,,,,,0.02,0.037,,,0.027,,,,,,0.187,
01:40,,,,,0.032,0.044,0.033,,0.23,,,,,0.018,0.035,,,0.026,,,,,,0.332,
02:00,,,,,0.029,0.046,0.024,,0.264,,,,,0.015,0.031,,,0.026,,,,,,0.58,
02:20,,,,,0.031,0.054,0.025,,0.296,,,,,0.017,0.031,,,0.027,,,,,,0.89,
02:40,,,,,0.031,0.049,0.024,,0.357,,,,,0.017,0.028,,,0.028,,,,,,1.39,
03:00,,,,,0.03,0.052,0.026,,0.399,,,,,0.015,0.027,,,0.026,,,,,,2.13,
03:20,,,,,0.03,0.052,0.025,,0.452,,,,,0.015,0.028,,,0.029,,,,,,2.7,
