Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00:00,0.024,0.044,0.007,0.023,0.021,0.016,0.016,0.018,0.01,0.024,0.02,0.012,0.018,0.021,0.032,0.014
00:20,0.023,0.063,0.011,0.023,0.005,0.003,0.009,0.024,0.025,0.015,0.014,0.023,0.014,0.024,0.023,0.019
00:40,0.036,0.134,0.036,0.025,0.025,0.011,0.015,0.025,0.07,0.021,0.029,0.057,0.034,0.052,0.064,0.023
01:00,0.037,0.271,0.085,0.052,0.05,0.027,0.027,0.046,0.165,0.03,0.057,0.13,0.057,0.108,0.094,0.054
01:20,0.075,0.52,0.154,0.087,0.095,0.022,0.034,0.051,0.285,0.038,0.083,0.255,0.101,0.181,0.18,0.069
01:40,0.085,0.054,0.24,0.118,0.172,0.044,0.042,0.067,0.48,0.062,0.133,0.46,0.204,0.321,0.31,0.121
02:00,0.114,0.12,0.455,0.2,0.392,0.049,0.059,0.087,0.036,0.065,0.214,0.029,0.347,0.511,0.565,0.151
02:20,0.196,0.265,0.024,0.34,0.65,0.063,0.079,0.115,0.084,0.107,0.329,0.068,0.569,0.034,1.24,0.25
02:40,0.243,0.557,0.038,0.51,1.17,0.108,0.08,0.149,0.148,0.106,0.484,0.12,0.037,0.071,1.73,0.367
03:00,0.398,1.58,0.073,1.4,1.75,0.135,0.092,0.179,0.272,0.137,0.039,0.227,0.09,0.142,2.7,0.519
03:20,0.052,2.42,0.124,1.6,2.52,0.159,0.11,0.244,0.495,0.15,0.063,0.392,0.186,0.257,3.86,0.042
03:40,0.066,3.82,0.223,2.53,3.2,0.217,0.13,0.316,0.775,0.211,0.118,0.729,0.349,0.433,5.01,0.064
04:00,0.08,,,,,0.276,0.157,0.407,,,0.177,,0.72,0.89,,0.097
04:20,0.11,,,,,0.383,,0.522,,,,,,,,0.137
