Time,Replicate,OD
10:30,1,0.028
10:30,2,0.027
10:30,3,0.026
10:30,4,0.027
10:50,1,0.041
10:50,2,0.043
10:50,3,0.052
10:50,4,0.040
11:10,1,0.082
11:10,2,0.084
11:10,3,0.076
11:10,4,0.075
11:30,1,0.146
11:30,2,0.147
11:30,3,0.139
11:30,4,0.143
11:50,1,0.248
11:50,2,0.270
11:50,3,0.246
11:50,4,0.264
12:10,1,0.455
12:10,2,0.451
12:10,3,0.428
12:10,4,0.444
12:30,1,0.92
12:30,2,0.97
12:30,3,0.89
12:30,4,0.98
12:50,1,1.6
12:50,2,1.54
12:50,3,1.41
12:50,4,1.5
13:10,1,2.0
13:10,2,1.70
13:10,3,1.92
13:10,4,1.9
13:30,1,2.24
13:30,2,2.24
13:30,3,2.16
13:30,4,2.24
13:50,1,2.75
13:50,2,2.87
13:50,3,2.55
13:50,4,2.46
14:10,1,3.03
14:10,2,2.89
14:10,3,2.77
14:10,4,2.86
14:30,1,3.64
14:30,2,3.74
14:30,3,3.25
14:30,4,3.62
14:50,1,4.42
14:50,2,4.9
14:50,3,3.64
14:50,4,4.41
15:10,1,4.68
15:10,2,4.82
15:10,3,4.87
15:10,4,4.66
