Time,Replicate,OD
11:17,1,0.025
11:17,2,0.025
11:17,3,0.026
11:37,1,0.024
11:37,2,0.021
11:37,3,0.024
11:57,1,0.021
11:57,2,0.018
11:57,3,0.029
12:17,1,0.017
12:17,2,0.024
12:17,3,0.030
12:37,1,0.030
12:37,2,0.035
12:37,3,0.031
12:57,1,0.040
12:57,2,0.049
12:57,3,0.052
13:17,1,0.114
13:17,2,0.112
13:17,3,0.128
13:37,1,0.147
13:37,2,0.249
13:37,3,0.297
13:57,1,0.419
13:57,2,0.531
13:57,3,0.66
14:17,1,0.88
14:17,2,0.85
14:17,3,0.74
14:37,1,1.12
14:37,2,1.42
14:37,3,1.41
14:57,1,1.55
14:57,2,2.23
14:57,3,2.50
15:17,1,3.08
15:17,2,3.31
15:17,3,3.46
